File Name,Pathology_expert_1,Realism_expert_1,Composition_expert_1,Viewpoint_expert_1,Consistency_expert_1,Pathology_expert_2,Realism_expert_2,Composition_expert_2,Viewpoint_expert_2,Consistency_expert_2,prompt
abnormal_chin_projection_shown_in_two_images_from_these_two_different_views_fron.png,3,3,3,3.0,2,2.0,3.0,3.0,3.0,3.0,Abnormal chin projection shown in two images from these two different views: Frontal view and Lateral view
abnormal_eye_protrusion_shown_in_two_images_from_these_two_different_views_front.png,2,3,3,3.0,2,,,,,,Abnormal eye protrusion shown in two images from these two different views: Frontal view and Lateral view showing an affected eye
arm_amputation_shown_in_two_images_from_these_two_different_views_frontal_view_a.png,3,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,Arm amputation shown in two images from these two different views: Frontal view and Lateral view clearly featuring the affected arm
asymmetrical_ear_size_shown_in_two_images_from_these_two_different_views_lateral.png,3,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,Asymmetrical ear size shown in two images from these two different views: Lateral view and Frontal view
bakers_cyst_shown_in_two_images_from_these_two_different_views_lateral_view_and_.png,3,3,3,3.0,3,,,,,,Baker's cyst shown in two images from these two different views: Lateral view and Posterior view
blepharitis_shown_in_two_images_from_these_two_different_views_frontal_view_show.png,3,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,Blepharitis shown in two images from these two different views: 'Frontal view showing both eyes' and 'Oblique view focusing on one eye'
boutonniere_deformity_shown_in_two_images_from_these_two_different_views_lateral.png,1,3,3,1.5,1,1.0,3.0,3.0,3.0,2.0,Boutonniere deformity shown in two images from these two different views: Lateral view and Ventral view
brachydactyly_shown_in_two_images_from_these_two_different_views_palmar_view_and.png,3,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,Brachydactyly shown in two images from these two different views: Palmar view and Dorsal view of hand
broken_leg_closed_fracture_shown_in_two_images_from_these_two_different_views_vi.png,3,3,3,2.5,3,,,,,,"Broken leg (closed fracture) shown in two images from these two different views: View showing full leg, from hip to toe and Close-up view showing fracture site"
bunion_shown_in_two_images_from_these_two_different_views_ventral_view_and_later.png,2,3,3,3.0,1,,,,,,Bunion shown in two images from these two different views: Ventral view and Lateral view clearly featuring the bunion
cauliflower_ear_shown_in_two_images_from_these_two_different_views_frontal_view_.png,3,3,3,3.0,3,,,,,,Cauliflower ear shown in two images from these two different views: Frontal view and Lateral view
dental_caries_shown_in_two_images_from_these_two_different_views_frontal_view_an.png,3,3,3,3.0,3,,,,,,Dental caries shown in two images from these two different views: Frontal view and Lateral view
dental_tartar_shown_in_two_images_from_these_two_different_views_frontal_view_an.png,3,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,Dental tartar shown in two images from these two different views: Frontal view and Oblique view
dorsal_hump_in_nose_shown_in_two_images_from_these_two_different_views_frontal_v.png,3,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,Dorsal hump in nose shown in two images from these two different views: Frontal view and Lateral view
frontal_bossing_shown_in_two_images_from_these_two_different_views_frontal_view_.png,1,3,3,3.0,3,2.0,3.0,3.0,3.0,3.0,Frontal bossing shown in two images from these two different views: Frontal view and Lateral view
genu_recurvatum_shown_in_two_images_from_these_two_different_views_lateral_view_.png,0,3,3,3.0,0,0.0,2.0,3.0,3.0,1.0,Genu recurvatum shown in two images from these two different views: Lateral view and Other lateral view
hip_abductor_weakness_shown_in_two_images_from_these_two_different_views_frontal.png,0,3,3,3.0,0,0.0,2.0,3.0,3.0,3.0,Hip abductor weakness shown in two images from these two different views: Frontal view and Posterior view
knee_joint_effusion_shown_in_two_images_from_these_two_different_views_frontal_v.png,2,3,3,3.0,2,,,,,,Knee joint effusion shown in two images from these two different views: Frontal view and Lateral view
knee_valgus_shown_in_two_images_from_these_two_different_views_frontal_view_and_.png,0,3,3,3.0,1,,,,,,Knee valgus shown in two images from these two different views: Frontal view and Posterior view
macroglossia_shown_in_two_images_from_these_two_different_views_frontal_view_and.png,1,3,3,3.0,3,,,,,,Macroglossia shown in two images from these two different views: Frontal view and Lateral view
madarosis_affecting_eyelids_shown_in_two_images_from_these_two_different_views_f.png,1,3,3,3.0,1,,,,,,Madarosis affecting eyelids shown in two images from these two different views: Frontal view and Superior view
microcephaly_shown_in_two_images_from_these_two_different_views_frontal_view_and.png,1,3,3,3.0,3,1.0,3.0,3.0,3.0,3.0,Microcephaly shown in two images from these two different views: Frontal view and Lateral view
nasal_tip_collapse_shown_in_two_images_from_these_two_different_views_frontal_vi.png,0,3,3,3.0,3,,,,,,Nasal tip collapse shown in two images from these two different views: Frontal view and Lateral view
notch_in_ear_shown_in_two_images_from_these_two_different_views_oblique_view_and.png,3,3,3,1.5,3,3.0,3.0,2.0,2.0,3.0,Notch in ear shown in two images from these two different views: Oblique view and Lateral view
off_center_columella_shown_in_two_images_from_these_two_different_views_inferior.png,1,3,3,3.0,3,3.0,2.0,2.0,3.0,3.0,Off-center columella shown in two images from these two different views: Inferior view and Frontal view
overbite_shown_in_two_images_from_these_two_different_views_frontal_view_and_lat.png,3,3,3,3.0,3,,,,,,Overbite shown in two images from these two different views: Frontal view and Lateral view
pectus_carinatum_non_sexual_medical_image_of_male_patient_shown_in_two_images_fr.png,0,3,3,3.0,3,0.0,3.0,3.0,3.0,3.0,"Pectus carinatum (non-sexual, medical image of male patient) shown in two images from these two different views: Frontal view and Lateral view"
pectus_excavatum_non_sexual_medical_image_of_male_patient_shown_in_two_images_fr.png,0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,"Pectus excavatum (non-sexual, medical image of male patient) shown in two images from these two different views: Frontal view and Oblique view"
preauricular_pit_shown_in_two_images_from_these_two_different_views_frontal_view.png,2,3,3,2.5,0,,,,,,Preauricular pit shown in two images from these two different views: Frontal view and Lateral view clearly featuring the pit
rhinophyma_shown_in_two_images_from_these_two_different_views_frontal_view_and_l.png,3,2,3,3.0,2,,,,,,Rhinophyma shown in two images from these two different views: Frontal view and Lateral view
scapular_winging_shown_in_two_images_from_these_two_different_views_posterior_vi.png,0,3,3,3.0,3,,,,,,Scapular winging shown in two images from these two different views: Posterior view and Lateral view
scoliosis_shown_in_two_images_from_these_two_different_views_frontal_view_and_po.png,0,3,1,3.0,2,1.0,3.0,3.0,3.0,3.0,Scoliosis shown in two images from these two different views: Frontal view and Posterior view
sublaxation_of_patella_shown_in_two_images_from_these_two_different_views_fronta.png,0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,Sublaxation of patella shown in two images from these two different views: Frontal view and Lateral view clearly featuring the affected patella
swan_neck_contracture_shown_in_two_images_from_these_two_different_views_lateral.png,0,3,3,3.0,3,0.0,3.0,3.0,3.0,3.0,Swan neck contracture shown in two images from these two different views: Lateral view and Dorsal view of hand
syndactyly_affecting_fingers_shown_in_two_images_from_these_two_different_views_.png,3,2,3,3.0,0,1.0,2.0,3.0,3.0,1.0,Syndactyly affecting fingers shown in two images from these two different views: Palmar view and Dorsal view of hand
temporomandibular_joint_dislocation_shown_in_two_images_from_these_two_different.png,1,3,3,3.0,1,,,,,,Temporomandibular joint dislocation shown in two images from these two different views: Frontal view and Lateral view
tooth_erosion_shown_in_two_images_from_these_two_different_views_frontal_view_an.png,2,3,3,2.5,3,,,,,,Tooth erosion shown in two images from these two different views: Frontal view and Lateral view
trigger_finger_tenosynovitis_shown_in_two_images_from_these_two_different_views_.png,1,3,3,3.0,0,,,,,,Trigger finger tenosynovitis shown in two images from these two different views: Palmar view and Lateral view
ulnar_drift_shown_in_two_images_from_these_two_different_views_ventral_view_and_.png,0,3,3,3.0,0,,,,,,Ulnar drift shown in two images from these two different views: Ventral view and Dorsal view of hand
underbite_shown_in_two_images_from_these_two_different_views_frontal_view_and_la.png,3,3,3,3.0,3,,,,,,Underbite shown in two images from these two different views: Frontal view and Lateral view
