File Name,Pathology,Realism,Composition,prompt
gpt_abnormal_chin_projection.png,3,2,3,Abnormal chin projection
gpt_abnormal_eye_protrusion.png,3,2,2,Abnormal eye protrusion
gpt_abnormal_pupil_size.png,3,3,3,Abnormal pupil size
gpt_abnormal_tilt_of_ear.png,1,0,3,Abnormal tilt of ear
gpt_anophthalmia.png,3,2,3,Anophthalmia
gpt_arachnodactyly.png,3,3,3,Arachnodactyly
gpt_arm_amputation.png,3,2,3,Arm amputation
gpt_arrhinia.png,2,0,3,Arrhinia
gpt_asymmetric_arm_length.png,1,2,3,Asymmetric arm length
gpt_asymmetric_mouth_opening.png,3,2,3,Asymmetric mouth opening
gpt_asymmetric_smile.png,3,3,3,Asymmetric smile
gpt_asymmetrical_ear_size.png,3,2,3,Asymmetrical ear size
gpt_bakers_cyst.png,1,2,3,Baker's cyst
gpt_blepharitis.png,3,3,3,Blepharitis
gpt_boutonniere_deformity.png,1,2,3,Boutonniere deformity
gpt_brachydactyly.png,3,2,3,Brachydactyly
gpt_broken_arm_closed_fracture.png,3,2,3,Broken arm (closed fracture)
gpt_broken_leg_closed_fracture.png,0,1,3,Broken leg (closed fracture)
gpt_bunion.png,3,2,3,Bunion
gpt_cauliflower_ear.png,2,3,3,Cauliflower ear
gpt_cervical_lymphadenopathy.png,3,1,3,Cervical lymphadenopathy
gpt_cleft_lip.png,3,3,3,Cleft lip
gpt_cleft_palate.png,2,1,3,Cleft palate
gpt_clinodactyly_affecting_fingers.png,3,3,3,Clinodactyly affecting fingers
gpt_coloboma_affecting_the_eyelid.png,3,2,3,Coloboma affecting the eyelid
gpt_dental_caries.png,3,3,3,Dental caries
gpt_dental_tartar.png,3,2,3,Dental tartar
gpt_digital_clubbing_affecting_fingers.png,3,2,3,Digital clubbing affecting fingers
gpt_dorsal_hump_in_nose.png,3,3,3,Dorsal hump in nose
gpt_dupuytrens_contracture.png,1,1,3,Dupuytren’s contracture
gpt_excessively_flat_foot_arch.png,0,3,1,Excessively flat foot arch
gpt_excessively_high_foot_arch.png,1,1,1,Excessively high foot arch
gpt_eyebrow_ptosis.png,1,3,3,Eyebrow ptosis
gpt_foot_drop.png,2,2,3,Foot drop
gpt_frontal_bossing.png,3,2,3,Frontal bossing
gpt_genu_recurvatum.png,0,3,3,Genu recurvatum
gpt_goiter.png,3,2,3,Goiter
gpt_gout_affecting_foot.png,3,2,3,Gout affecting foot
gpt_gum_hyperplasia.png,2,1,3,Gum hyperplasia
gpt_hammertoe.png,1,2,3,Hammertoe
gpt_hip_abductor_weakness.png,0,3,2,Hip abductor weakness
gpt_hyperlordosis.png,3,1,3,Hyperlordosis
gpt_hypodontia.png,3,2,3,Hypodontia
gpt_knee_joint_effusion.png,3,2,3,Knee joint effusion
gpt_knee_valgus.png,3,3,3,Knee valgus
gpt_knee_varus.png,0,1,3,Knee varus
gpt_kyphosis.png,3,3,3,Kyphosis
gpt_leg_amputation.png,3,2,3,Leg amputation
gpt_macroglossia.png,3,1,3,Macroglossia
gpt_madarosis_affecting_eyelids.png,2,3,3,Madarosis affecting eyelids
gpt_mallet_finger.png,0,1,2,Mallet finger
gpt_microcephaly.png,3,3,3,Microcephaly
gpt_microtia.png,2,1,3,Microtia
gpt_nasal_tip_collapse.png,2,3,2,Nasal tip collapse
gpt_neck_hump.png,3,2,3,Neck hump
gpt_notch_in_ear.png,3,3,3,Notch in ear
gpt_off_center_columella.png,1,2,3,Off-center columella
gpt_overbite.png,3,3,3,Overbite
gpt_pectus_carinatum_non_sexual_medical_image_of_male_patient.png,1,2,3,"Pectus carinatum (non-sexual, medical image of male patient)"
gpt_pectus_excavatum_non_sexual_medical_image_of_male_patient.png,2,3,3,"Pectus excavatum (non-sexual, medical image of male patient)"
gpt_polydactyly_affecting_fingers.png,3,3,3,Polydactyly affecting fingers
gpt_preauricular_pit.png,3,3,3,Preauricular pit
gpt_rhinophyma.png,3,2,3,Rhinophyma
gpt_saddle_nose_deformity.png,0,2,3,Saddle nose deformity
gpt_scapular_winging.png,2,1,3,Scapular winging
gpt_scoliosis.png,3,3,3,Scoliosis
gpt_shoulder_dislocation.png,1,2,3,Shoulder dislocation
gpt_strabismus.png,3,3,3,Strabismus
gpt_sublaxation_of_patella.png,2,2,3,Sublaxation of patella
gpt_swan_neck_contracture.png,0,1,3,Swan neck contracture
gpt_swollen_parotid_glands.png,2,2,3,Swollen parotid glands
gpt_syndactyly_affecting_fingers.png,2,2,3,Syndactyly affecting fingers
gpt_temporomandibular_joint_dislocation.png,1,1,3,Temporomandibular joint dislocation
gpt_tooth_abfraction.png,3,3,3,Tooth abfraction
gpt_torticollis.png,3,3,3,Torticollis
gpt_trigger_finger_tenosynovitis.png,2,2,3,Trigger finger tenosynovitis
gpt_ulnar_drift.png,0,3,3,Ulnar drift
gpt_underbite.png,2,0,3,Underbite
gpt_unilateral_drooping_eyelid.png,3,3,3,Unilateral drooping eyelid
gpt_webbed_neck.png,1,3,3,Webbed neck
